Chicken.paralogue.gene.stable.ID	Gene.stable.ID	Gene.name	Gene...GC.content	Paralogue..id..target.Chicken.gene.identical.to.query.gene	Paralogue.GC.content	gene_gc.x	Gene_stable_ID_rank	gene_gc.y	Chicken.paralogue_gene_stable_ID_rank	identity_bin_raw	identity_bin_labeled	identity_bin
ENSGALG00010027607	ENSGALG00010028086	MATK	62.86	37.1365	47.45	62.86	51	47.45	238	[25,50)	25–50%	25–50%
ENSGALG00010027619	ENSGALG00010028086	MATK	62.86	27.9642	66.21	62.86	51	66.21	391	[25,50)	25–50%	25–50%
ENSGALG00010027653	ENSGALG00010001486	WNT2	50.63	42.5532	42.97	50.63	42	42.97	156	[25,50)	25–50%	25–50%
ENSGALG00010027712	ENSGALG00010002756	STOML3	43.86	50	43.9	43.86	30	43.9	176	[50,75)	50–75%	50–75%
ENSGALG00010027725	ENSGALG00010004835	HHLA2	41.49	13.3676	52.41	41.49	22	52.41	295	[0,25)	0–25%	0–25%
ENSGALG00010027727	ENSGALG00010005518	HPGDS	40.82	25.8065	67.19	40.82	17	67.19	396	[25,50)	25–50%	25–50%
ENSGALG00010027875	ENSGALG00010001486	WNT2	50.63	43.617	47.93	50.63	42	47.93	240	[25,50)	25–50%	25–50%
ENSGALG00010027886	ENSGALG00010018665	IL13RA2	48.98	11.6466	68.15	48.98	41	68.15	401	[0,25)	0–25%	0–25%
ENSGALG00010027886	ENSGALG00010020457	IL5RA	42.94	10.6132	68.15	42.94	28	68.15	401	[0,25)	0–25%	0–25%
ENSGALG00010027901	ENSGALG00010020696	MOB1A	52.15	48.4018	66.3	52.15	44	66.3	393	[25,50)	25–50%	25–50%
ENSGALG00010027915	ENSGALG00010005518	HPGDS	40.82	20.7373	67.58	40.82	17	67.58	399	[0,25)	0–25%	0–25%
ENSGALG00010028107	ENSGALG00010013323	NOTCH2	45.54	54.3174	57.82	45.54	36	57.82	331	[50,75)	50–75%	50–75%
ENSGALG00010028128	ENSGALG00010013766	DNM3	41.19	73.4409	49.25	41.19	20	49.25	264	[50,75)	50–75%	50–75%
ENSGALG00010028134	ENSGALG00010013213	SH2D1A	44.27	17.7419	46.85	44.27	32	46.85	229	[0,25)	0–25%	0–25%
ENSGALG00010028392	ENSGALG00010005979	SUV39H2	40.21	21.1302	46.74	40.21	13	46.74	228	[0,25)	0–25%	0–25%
ENSGALG00010028428	ENSGALG00010011597	TBC1D14	40.66	16.7832	41.92	40.66	15	41.92	136	[0,25)	0–25%	0–25%
ENSGALG00010028460	ENSGALG00010018665	IL13RA2	48.98	12.0482	66.76	48.98	41	66.76	395	[0,25)	0–25%	0–25%
ENSGALG00010028460	ENSGALG00010020457	IL5RA	42.94	11.7925	66.76	42.94	28	66.76	395	[0,25)	0–25%	0–25%
ENSGALG00010028550	ENSGALG00010028086	MATK	62.86	30.2013	48.51	62.86	51	48.51	245	[25,50)	25–50%	25–50%
ENSGALG00010028572	ENSGALG00010011597	TBC1D14	40.66	8.81119	51.9	40.66	15	51.9	289	[0,25)	0–25%	0–25%
ENSGALG00010028575	ENSGALG00010005979	SUV39H2	40.21	25.5528	59.07	40.21	13	59.07	343	[25,50)	25–50%	25–50%
ENSGALG00010028584	ENSGALG00010003843	LRCH1	38.69	12.1011	45.11	38.69	11	45.11	201	[0,25)	0–25%	0–25%
ENSGALG00010028751	ENSGALG00010005979	SUV39H2	40.21	31.941	49.18	40.21	13	49.18	260	[25,50)	25–50%	25–50%
ENSGALG00010029154	ENSGALG00010018057	SSTR4	56.14	20.7071	44.87	56.14	46	44.87	194	[0,25)	0–25%	0–25%
ENSGALG00010029155	ENSGALG00010018057	SSTR4	56.14	23.2323	49.44	56.14	46	49.44	266	[0,25)	0–25%	0–25%
ENSGALG00010029210	ENSGALG00010016403	GRK4	37.32	16.3445	65.67	37.32	4	65.67	387	[0,25)	0–25%	0–25%
ENSGALG00010029315	ENSGALG00010011597	TBC1D14	40.66	12.3077	52.23	40.66	15	52.23	292	[0,25)	0–25%	0–25%
ENSGALG00010029338	ENSGALG00010013213	SH2D1A	44.27	15.3226	39.02	44.27	32	39.02	65	[0,25)	0–25%	0–25%
ENSGALG00010029346	ENSGALG00010004070	ARL11	47.21	24.6231	58.72	47.21	40	58.72	339	[0,25)	0–25%	0–25%
ENSGALG00010029470	ENSGALG00010018057	SSTR4	56.14	40.1515	58.08	56.14	46	58.08	335	[25,50)	25–50%	25–50%
ENSGALG00010029574	ENSGALG00010011597	TBC1D14	40.66	7.83217	41.61	40.66	15	41.61	125	[0,25)	0–25%	0–25%
ENSGALG00010029697	ENSGALG00010029597	ADAP2	44.72	6.31868	70.46	44.72	33	70.46	405	[0,25)	0–25%	0–25%
ENSGALG00010029782	ENSGALG00010020533	UNKL	38.26	52.9557	47.11	38.26	6	47.11	233	[50,75)	50–75%	50–75%
