Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete	Annotation BUSCO Single Copy	Annotation BUSCO Duplicated	Annotation BUSCO Fragmented	Annotation BUSCO Missing	Annotation BUSCO Lineage	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Type Material Display Text	CheckM marker set	CheckM completeness	CheckM contamination
GCF_914725855.1	fThuAlb1.1	Thunnus albacares	8236								NCBI Thunnus albacares Annotation Release 100	792101331	24	Chromosome	2021-09-16	CAJZAX01	26795544	34622995	68	0.99835163	0.99230766	0.006043956	0.0002747253	0.0013736264	actinopterygii_odb10		WELLCOME SANGER INSTITUTE	PRJEB47267	SAMEA8654749	34728	24623	334				
GCF_030020395.1	mManPen7.hap1	Manis pentadactyla	143292						mManPen7	male	GCF_030020395.1-RS_2023_06	2840164579	21	Chromosome	2023-05-23	JASFZP01	25547713	149551276	661	0.97768515	0.95814943	0.01953572	0.005966977	0.016347883	laurasiatheria_odb10	PacBio Sequel II HiFi; Dovetail OmniC	Vertebrate Genomes Project	PRJNA924339	SAMN32757332	31161	21077	3209				
GCF_015852505.1	mTacAcu1.pri	Tachyglossus aculeatus	9261						mTacAcu1	male	NCBI Tachyglossus aculeatus Annotation Release 100	2213004214	36	Chromosome	2020-12-09	JADRJE01	19859057	63379719	310	0.91643184	0.90743554	0.008996314	0.011489269	0.072078906	mammalia_odb10	PacBio Sequel I CLR; Illumina NovaSeq; Bionano Genomics DLS; Phase Genomics	Vertebrate Genomes Project	PRJNA607237	SAMN12634963	31147	18929	2035				
GCF_020382885.2	fScaArg1.pri	Scatophagus argus	75038						fScaArg1		NCBI Scatophagus argus Annotation Release 100	570785501	24	Chromosome	2021-10-13	JAIZDN01	17189422	24451451	47	0.99505496	0.99010986	0.004945055	0.0021978023	0.0027472528	actinopterygii_odb10	PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	G10K	PRJNA749579	SAMN12623616	26110	22632	168				
GCF_012275295.1	bMelUnd1.mat.Z	Melopsittacus undulatus	13146						bMelUnd1	female	GCF_012275295.1-RS_2024_11	1171617451	32	Chromosome	2020-04-13	JAAVWG01	16636420	104092594	864	0.98584795	0.9701367	0.015711201	0.0040777163	0.010074358	aves_odb10	PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	G10K	PRJNA612327	SAMN12623090	18612	16457	254				
GCF_904848185.1	fAcaLat1.1	Acanthopagrus latus	8177						v.2019		NCBI Acanthopagrus latus Annotation Release 100	685127588	24	Chromosome	2020-10-12	CAJHBW01	14880455	30717905	65	0.99642855	0.9912088	0.0052197804	0.0010989011	0.0024725276	actinopterygii_odb10		SC	PRJEB40700	SAMN16236878	30246	23786	189				
GCF_963930625.1	mMunRee1.1	Muntiacus reevesi	9886								GCF_963930625.1-RS_2024_06	2656168540	23	Chromosome	2024-01-31	CAWVNM01	5780196	114544513	267	0.9874766	0.9782527	0.009223847	0.004649419	0.007874016	cetartiodactyla_odb10	PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB72164	SAMEA110690972	33112	21410	5283				
GCF_016432855.1	SaNama_1.0	Salvelinus namaycush	8040						Seneca	female	NCBI Salvelinus namaycush Annotation Release 100	2345496725	42	Chromosome	2021-01-06	JAEAGN01	1804090	44976251	4120	0.9541209	0.54423076	0.40989012	0.014285714	0.03159341	actinopterygii_odb10	PacBio Sequel; Illumina HiSeq; Hi-C	Universite Laval	PRJNA682269	SAMN16985724	49668	39192	3309				
GCF_022539595.1	ASM2253959v1	Amphiprion ocellaris	80972					Okinawa	individual 3	male	GCF_022539595.1-RS_2023_03	863468154	24	Chromosome	2022-03-10	JAJUWX01	812338	36880113	353	0.98983514	0.9793956	0.010439561	0.0024725276	0.0076923077	actinopterygii_odb10	PacBio Sequel	Okinawa Institute of Science and Technology	PRJNA787397	SAMN23798798	28286	23035	295				
GCF_023699985.2	Ovbor_1.2	Odocoileus virginianus	9874					Illinois	20LAN1187	male	GCF_023699985.2-RS_2024_12	2423246854	36	Chromosome	2024-10-17	JAJQKH02	21769372	66396233	480	0.9714286	0.95665544	0.014773154	0.005399325	0.023172103	cetartiodactyla_odb10	PacBio Sequel; Illumina NovaSeq; Dovetail Omni-C	University of Illinois	PRJNA782613	SAMN23390018	35924	20237	4808				
GCF_023634155.1	bFalPer1.pri	Falco peregrinus	8954						bFalPer1	female	GCF_023634155.1-RS_2023_04	1311580791	23	Chromosome	2022-06-02	JAMOAR01	15744644	93682670	124	0.9898057	0.9840489	0.0057567763	0.0029983209	0.00719597	aves_odb10	PacBio Sequel II HiFi; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA842834	SAMN28688290	19918	16083	289				
GCF_045679555.1	SLU_Salpinus.1	Salvelinus alpinus	8036								GCF_045679555.1-RS_2025_01	2367887750	39	Chromosome	2024-12-04	JBFUNR01	2112528	59638343	939	0.9909341	0.58763736	0.4032967	0.0043956046	0.00467033	actinopterygii_odb10	Oxford Nanopore PromethION; Illumina NovaSeq	Swedish University of Agricurltural sciences	PRJNA1127343	SAMN42001310	54756	40864	2745				
GCF_963924715.1	fThuThy2.1	Thunnus thynnus	8237								GCF_963924715.1-RS_2024_07	799047066	24	Chromosome	2024-01-29	CAWUQP01	2956553	34318521	119	0.9953297	0.98598903	0.00934066	0.003021978	0.0016483517	actinopterygii_odb10	PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB72088	SAMEA111406335	33666	24665	405				
GCF_027475565.1	VMU_Ajub_asm_v1.0	Acinonyx jubatus	32536						Ajub_Pintada_27869175	female	GCF_027475565.1-RS_2023_04	2377417351	19	Chromosome	2022-12-28	JANJSO01	96827784	144444042	195	0.9872431	0.981175	0.0060681286	0.0031030204	0.009653841	carnivora_odb10	PacBio	University of Veterinary Medicine	PRJNA854353	SAMN29432198	33469	19999	3672				
GCF_018350215.1	P.leo_Ple1_pat1.1	Panthera leo	9689						Ple1	male	NCBI Panthera leo Annotation Release 100	2297552363	19	Chromosome	2021-05-13	JAEQMX01	77781637	147402474	53	0.9581437	0.9498	0.008343677	0.0021376363	0.039718658	carnivora_odb10	PacBio Sequel 2	Texas A&M University	PRJNA684340	SAMN17054329	32109	19491	3539				
GCF_028021215.1	mEscRob2.pri	Eschrichtius robustus	9764						mEscRob2	male	GCF_028021215.1-RS_2024_09	2982418581	23	Chromosome	2023-01-31	JAQMHY01	39209000	126538682	703	0.98342705	0.9726284	0.01079865	0.005774278	0.01079865	cetartiodactyla_odb10	PacBio Sequel II HiFi; 3D-DNA Hi-C	Vertebrate Genomes Project	PRJNA921702	SAMN32629250	29276	18965	4288				
GCF_027580195.1	NWIPB_WYAK_1.1	Bos mutus	72004						GX-2022	male	GCF_027580195.1-RS_2024_12	2626900860	30	Chromosome	2023-01-09	JANCMR01	38284421	103902138	2039	0.9855268	0.9789276	0.0065991753	0.0059242593	0.008548931	cetartiodactyla_odb10	Oxford Nanopore GridION; Illumina HiSeq	Northwest Institute of Plateau Biology, Chinese Academy of Sciences	PRJNA720245	SAMN18643077	30156	20029	3918				
GCF_011004845.1	fEsoLuc1.pri	Esox lucius	8010						fEsoLuc1		NCBI Esox lucius Annotation Release 104	918731919	25	Chromosome	2020-03-05	JAAIYR01	22630263	37473588	52	0.9953297	0.98324174	0.012087912	0.0016483517	0.003021978	actinopterygii_odb10	PacBio Sequel; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA561977	SAMN12623624	30105	24647	359				
GCF_036417665.1	bPasDom1.hap1	Passer domesticus	48849						bPasDom1	female	GCF_036417665.1-RS_2024_04	1310114252	39	Chromosome	2024-02-07	JAZGKA01	20590000	83066519	334	0.986813	0.98118776	0.0056252307	0.002582073	0.010604943	passeriformes_odb10	PacBio Sequel II HiFi; Dovetail OmniC	Vertebrate Genomes Project	PRJNA1064421	SAMN39255856	31465	18191	291				
GCF_023653815.2	GSC_CCare_1.0	Caretta caretta	8467						SJ_126:Eziel1	female	NCBI Caretta caretta Annotation Release 100	2133995980	28	Chromosome	2022-06-07	JAMOIO01	18214114	130956235	2007							Illumina NovaSeq; Oxford Nanopore PromethION	Canada's Genomic Enterprise	PRJNA826225	SAMN27958248	24887	20259	705				
GCF_018139145.2	ASM1813914v2	Gymnogyps californianus	33616						813	female	GCF_018139145.2-RS_2023_02	1240248578	30	Chromosome	2022-09-01	JAGKTE02	17075888	85355094	542	0.98380905	0.9758935	0.007915568	0.0027584552	0.013432478	aves_odb10	PacBio RSII; Phase Genomics HiC	University of California San Francisco	PRJNA718609	SAMN18477433	17498	15144	421				
GCF_024217435.2	RoL_Ssco_1.2	Syngnathus scovelli	161590			Florida				male	GCF_024217435.2-RS_2024_09	428400902	22	Chromosome	2022-10-17	JANCRE01	15551623	17337441	495	0.97087914	0.9574176	0.013461539	0.008516484	0.020604396	actinopterygii_odb10	Pacbio Hi-Fi; Phase Genomics HiC	University of Idaho at Moscow	PRJNA851781	SAMN29251497	28754	19665	886				
GCF_006542625.1	Asia_NLE_v1	Nomascus leucogenys	61853						Asia	female	NCBI Nomascus leucogenys Annotation Release 103	2843966406	26	Chromosome	2019-07-02	VIFL01	12782853	35886894	2376	0.98642963	0.97532654	0.011103048	0.003555878	0.0100145135	primates_odb10	PacBio; Illumina	University of Washington	PRJNA369439	SAMN11124083	33914	20527	7038				
GCF_900324465.2	fAnaTes1.2	Anabas testudineus	64144							male	NCBI Anabas testudineus Annotation Release 101	555641398	23	Chromosome	2018-12-19	OOHO02	7055436	25063394	50	0.99450547	0.98131865	0.013186813	0.0027472528	0.0027472528	actinopterygii_odb10		SC	PRJEB25768	SAMEA104026376	26944	23846	411				
GCF_022682495.2	HLdesRot8A.1	Desmodus rotundus	9430						HL8	male	GCF_022682495.2-RS_2025_02	2119704833	15	Chromosome	2022-03-24	JAKFFZ01	6739964	160127860	573	0.97964686	0.9718816	0.007765244	0.005885238	0.014467876	laurasiatheria_odb10	PacBio Sequel; Illumina NovaSeq	Bat1K	PRJNA789528	SAMN24116476	30007	19269	5776				
GCF_905171775.1	aRanTem1.1	Rana temporaria	8407								NCBI Rana temporaria Annotation Release 100	4111422596	13	Chromosome	2021-01-28	CAJIMO01	6264810	481763206	554	0.9523541	0.92843693	0.023917137	0.0062146895	0.041431263	tetrapoda_odb10		Wellcome Sanger Institute	PRJEB42171	SAMEA7521635	38300	23707	2055				
GCF_021347895.1	KAUST_Apoly_ChrSc	Acanthochromis polyacanthus	80966					Palm Island	Apoly-LR-REF		GCF_021347895.1-RS_2023_02	956771783	24	Chromosome	2022-01-11	JAEMOU01	5524274	41709588	81	0.989011	0.97884613	0.0101648355	0.0032967033	0.0076923077	actinopterygii_odb10	PacBio RSII; Hi-C	King Abdullah University of Science and Technology	PRJNA671567	SAMN16534234	30251	23921	328				
GCF_963930695.1	fLabBer1.1	Labrus bergylta	56723								GCF_963930695.1-RS_2024_06	720210020	24	Chromosome	2024-01-31	CAWVNU01	2715806	31261685	131	0.9909341	0.9826923	0.008241759	0.0038461538	0.0052197804	actinopterygii_odb10	PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB72177	SAMEA111562158	31208	23510	516				
GCF_023373465.1	Oket_V2	Oncorhynchus keta	8018			PuntledgeMale-10-30-2019				male	GCF_023373465.1-RS_2023_03	2556461070	37	Chromosome	2022-05-16	JAJNGS01	2022835	2025324	17479	0.9807692	0.59752744	0.38324177	0.008241759	0.010989011	actinopterygii_odb10	Oxford Nanopore MinION; Illumina HiSeq	Fisheries and Oceans Canada	PRJNA669401	SAMN16447169	66713	40661	3367				
GCF_014858855.1	ASM1485885v1	Bufo gargarizans	30331						SCDJY-AF-19	female	NCBI Bufo gargarizans Annotation Release 100	4545465442	11	Chromosome	2020-10-21	JABFFT01	1738317	539822115	747	0.91770244	0.8676083	0.05009416	0.013747646	0.06854991	tetrapoda_odb10	PacBio Sequel	Chengdu Institute of Biology, CAS	PRJNA628553	SAMN14734018	27589	22033	1122				
GCF_042477335.2	ARS-UI_OviCan_v2	Ovis canadensis	37174		Bighorn				MfBH-ARS-UI-01	male	GCF_042477335.2-RS_2024_12	2974267070	28	Chromosome	2024-10-18	JBGCUV01	105224494	105224494	41	0.98927635	0.97645295	0.012823397	0.0048743905	0.0058492688	cetartiodactyla_odb10		Sheep Pangenome	PRJNA967002		35002	20615	4512				
GCF_015227805.2	bHirRus1.pri.v3	Hirundo rustica	43150						bHirRus1	female	GCF_015227805.2-RS_2023_07	1105955550	41	Chromosome	2021-11-30	JADDRP03	2794774	76187387	617	0.9798045	0.97417927	0.0056252307	0.0032275913	0.01696791	passeriformes_odb10	PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA636192	SAMN14675488	18409	15517	226				
GCF_016509475.1	Fcat_Pben_1.1_paternal_pri	Prionailurus bengalensis	37029						Pbe53	male	NCBI Prionailurus bengalensis Annotation Release 100	2435702060	19	Chromosome	2021-01-06	JADZGN01	82622880	148587958	83	0.9899324	0.9824852	0.007447249	0.002482416	0.007585161	carnivora_odb10	PacBio	Texas A&M University	PRJNA682572	SAMN16486448	30727	20003	3731				
GCF_045791955.1	UVic_Ocla_1.0	Oncorhynchus clarkii lewisi	490388						Uvic-CL-2024	male	GCF_045791955.1-RS_2025_01	2404487246	33	Chromosome	2024-12-06	JBGORU01	4987901	73539589	3266	0.99258244	0.546978	0.44560438	0.0038461538	0.0035714286	actinopterygii_odb10	Oxford Nanopore PromethION; Illumina NovaSeq	University of Victoria	PRJNA1151023	SAMN43301351	60299	41663	3772				
GCF_029289425.2	NHGRI_mPanPan1-v2.0_pri	Pan paniscus	9597							male	GCF_029289425.2-RS_2024_02	3244888708	25	Chromosome	2024-01-08	JARIFH02	147028407	147028407	30	0.9871553	0.9724964	0.014658926	0.0044992743	0.008345428	primates_odb10	PacBio Sequel; Oxford Nanopore PromethION	National Human Genome Research Institute, National Institutes of Health	PRJNA942951	SAMN13935689	38533	22890	6868				
GCF_037176945.1	fLatCha1.pri	Latimeria chalumnae	7897						fLatCha1	female	GCF_037176945.1-RS_2024_04	2947609019	30	Chromosome	2024-03-18	JBBEES01	42076942	188107785	197	0.9883721	0.974359	0.014013119	0.004472272	0.007155635	vertebrata_odb10	PacBio Revio Hifi; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA1072167	SAMN39710040	28938	19735	1917				
GCF_024256425.1	CGAR_prim_01v2	Clarias gariepinus	13013					Netherlands	MV-2021	male	GCF_024256425.1-RS_2023_03	969604269	28	Chromosome	2022-07-13	JAMBPB01	33715535	33715535	47	0.99065936	0.97554946	0.01510989	0.0021978023	0.007142857	actinopterygii_odb10	Oxford Nanopore PromethION; PacBio Sequel; Illumina NovaSeq; Illumina HiSeq	Leibniz Institute for Farm Animal Biology (FBN)	PRJNA818990	SAMN27021044	40491	24297	618				
GCF_902362185.1	fChaCha1.1	Chanos chanos	29144								NCBI Chanos chanos Annotation Release 100	656912816	16	Chromosome	2019-08-14	CABIVN01	23134051	50300218	30	0.98571426	0.96675825	0.018956045	0.0019230769	0.012362638	actinopterygii_odb10		SC	PRJEB33882	SAMEA5159473	26078	23173	606				
GCF_023634085.1	bFalChe1.pri	Falco cherrug	345164						bFalChe1	female	GCF_023634085.1-RS_2023_04	1309366964	24	Chromosome	2022-06-02	JAMOAL01	21245687	92426045	282	0.9886064	0.98332936	0.005277045	0.003717918	0.0076757018	aves_odb10	PacBio Sequel II HiFi; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA842831	SAMN28688204	19950	16251	202				
GCF_017976375.1	bCucCan1.pri	Cuculus canorus	55661						bCucCan1	female	GCF_017976375.1-RS_2023_02	1180136575	41	Chromosome	2021-04-15	JAGIYT01	20797936	78325852	150	0.9886064	0.98380905	0.0047973134	0.002278724	0.009114896	aves_odb10	PacBio Sequel II CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA562015	SAMN12629508	19729	16774	177				
GCF_041296385.1	UR_Acoe_1.0	Aphelocoma coerulescens	39617						FSJ_1873_10779	female	GCF_041296385.1-RS_2024_10	1330898477	35	Chromosome	2024-08-16	JBGGOT01	17285536	68049500	659	0.9880118	0.97777575	0.010236075	0.0047952784	0.0071929176	passeriformes_odb10	PacBio Sequel	University of Rochester	PRJNA1076903	SAMN39956395	23987	17513	322				
GCF_027477595.1	bHaeMex1.pri	Haemorhous mexicanus	30427						bHaeMex1	female	GCF_027477595.1-RS_2023_09	1148216196	41	Chromosome	2022-12-29	JAPYKC01	16787335	77212160	183	0.9891184	0.9853375	0.0037808926	0.0019365548	0.008945039	passeriformes_odb10	PacBio Sequel II HiFi; Bionano Genomics DLS; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA839499	SAMN28453576	19965	16679	274				
GCF_003957555.1	bCalAnn1_v1.p	Calypte anna	9244						BGI_N300	female	NCBI Calypte anna Annotation Release 101	1059687259	33	Chromosome	2019-05-16	RRCD01	14522327	74081004	159	0.9778124	0.97373474	0.0040777163	0.0028783882	0.019309187	aves_odb10	PacBio RSII; 10X Genomics linked reads; Bionano Genomics DLS; Arima Genomics HiC	Vertebrate Genomes Project	PRJNA489139	SAMN02265252	16230	14711	163				
GCF_030435755.1	mOchPri1.hap1	Ochotona princeps	9978						mOchPri1	male	GCF_030435755.1-RS_2023_07	2555444530	35	Chromosome	2023-07-13	JAUDYK01	12191025	73962893	5864	0.9794173	0.9558632	0.023554139	0.0045658792	0.016016815	glires_odb10	PacBio Sequel II HiFi; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA986273	SAMN35822658	28141	20332	3488				
GCF_902713425.1	fAciRut3.2 maternal haplotype	Acipenser ruthenus	7906								GCF_902713425.1-RS_2023_08	1899794300	60	Chromosome	2022-02-02	CACTIG02	8776027	42723358	1730	0.9802198	0.27417582	0.70604396	0.0019230769	0.017857144	actinopterygii_odb10		Wellcome Sanger Institute	PRJEB35912	SAMEA5572864	80041	38165	6639				
GCF_013358815.1	fEleEle1.pri	Electrophorus electricus	8005						fEleEle1		NCBI Electrophorus electricus Annotation Release 101	589358956	26	Chromosome	2020-06-23	JABVME01	7062559	25664172	89	0.99038464	0.978022	0.012362638	0.0035714286	0.006043956	actinopterygii_odb10	PacBio Sequel I CLR; llumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA561981	SAMN12623625	25923	22304	601				
GCF_008315115.2	SLUC_FBN_1.2	Sander lucioperca	283035						FBNREF2018	male	NCBI Sander lucioperca Annotation Release 101	901221791	24	Chromosome	2020-08-14	VTTG02	6663498	41060379	336	0.99505496	0.9870879	0.007967033	0.0024725276	0.0024725276	actinopterygii_odb10	PacBio; Illumina HiSeq	Leibniz Institute for Farm Animal Biology (FBN)	PRJNA561467	SAMN12618724	33533	24727	570				
GCF_018555375.3	ASM1855537v3	Anguilla rostrata	7938						EN2019	female	GCF_018555375.3-RS_2024_04	976090453	19	Chromosome	2024-03-04	JAGKSO02	5074093	56672075	967	0.98214287	0.89120877	0.09093407	0.006043956	0.011813187	actinopterygii_odb10	PacBio Sequel	Laval University	PRJNA718538	SAMN18538529	32130	25366	387				
GCF_009769545.1	fCycLum1.pri	Cyclopterus lumpus	8103						fCycLum1	male	NCBI Cyclopterus lumpus Annotation Release 100	572885595	25	Chromosome	2019-12-23	WNNC01	4950682	23863342	48	0.9807692	0.97252744	0.008241759	0.004945055	0.014285714	actinopterygii_odb10	PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA562003	SAMN12629502	26630	21480	146				
GCF_016835505.1	ASM1683550v1	Polypterus senegalus	55291						Bchr_013		NCBI Polypterus senegalus Annotation Release 100	3673863536	18	Chromosome	2021-02-09	JAATIS01	4528139	189689183	9855	0.9381868	0.90384614	0.03434066	0.00934066	0.052472528	actinopterygii_odb10	Oxford Nanopore GridION	BGI	PRJNA599026	SAMN13737739	29359	21953	1066				
GCF_027595985.1	mSorAra2.pri	Sorex araneus	42254						mSorAra2	male	GCF_027595985.1-RS_2023_04	2405993548	12	Chromosome	2023-01-09	JAQBIA01	4024507	374364821	65	0.9676312	0.9496485	0.017982671	0.0062121954	0.026156614	laurasiatheria_odb10	PacBio Sequel II HiFi; Bionano Genomics DLS; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA916523	SAMN32477717	28480	20687	3555				
GCF_958295425.1	fSolSol10.1	Solea solea	90069								GCF_958295425.1-RS_2023_08	643757955	21	Chromosome	2023-07-06	CATQIT01	2587297	29068826	242	0.99478024	0.98598903	0.008791209	0.0019230769	0.0032967033	actinopterygii_odb10	PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB63669	SAMEA10984647	37145	22383	384				
GCF_018492685.1	fAloSap1.pri	Alosa sapidissima	34773						fAloSap1	male	NCBI Alosa sapidissima Annotation Release 100	903564947	24	Chromosome	2021-05-25	JAHDTN01	1565278	38440066	73	0.98543954	0.9675824	0.017857144	0.004945055	0.009615385	actinopterygii_odb10	PacBio Sequel II HiFi; 10X Genomics linked reads; Bionano Genomics DLS; Arima Genomics Hi-C	Vertebrate Genomes Project	PRJNA728145	SAMN18857608	47628	25730	702				
GCF_000238955.4	M_zebra_UMD2a	Maylandia zebra	106582					Mazinzi reef	#2_Kocher and #3_Kocher	pooled male and female	NCBI Maylandia zebra Annotation Release 104	957468680	22	Chromosome	2018-04-10	AGTA05	1407748	32660920	1689	0.9958791	0.96868134	0.027197802	0.0016483517	0.0024725276	actinopterygii_odb10	PacBio	Broad Institute	PRJNA60369	SAMN03892560	32471	25898	1239				
GCF_021917145.1	fHypTra1	Hypomesus transpacificus	137520						Combined female	female	NCBI Hypomesus transpacificus Annotation Release 100	437273953	26	Chromosome	2022-02-04	JAJTOO01	412669	14850352	376	0.921978	0.9008242	0.021153847	0.0074175824	0.0706044	actinopterygii_odb10	10X; PacBio Sequel; Hi-C	Genomic Variation Lab at University of California Davis	PRJNA762373	SAMN24964577	27592	21767	210				
GCF_002078875.1	NumMel1.0	Numida meleagris	8996		g44 Domestic line				19003	male	NCBI Numida meleagris Annotation Release 100	1043247365	31	Chromosome	2017-06-01	MTSP01	234926	7868035	2738	0.9916047	0.9894459	0.002158791	0.0020388581	0.0063564405	aves_odb10	Illumina HiSeq	INRA	PRJNA352321	SAMN05969731	21846	16083	133				
GCF_002837175.3	ASM283717v5	Physeter macrocephalus	9755						SW-GA	female	GCF_002837175.3-RS_2025_01	2496209109	21	Chromosome	2023-02-28	PGGR02	42877	122182240	12168	0.93888265	0.91578555	0.023097113	0.029246343	0.031871017	cetartiodactyla_odb10	BGISEQ-500	BGI	PRJNA411766	SAMN07836523	29662	20412	3342				
GCF_004010195.1	ASM401019v1	Chiloscyllium plagiosum	36176						BGI_BamShark_2017	female	NCBI Chiloscyllium plagiosum Annotation Release 100	3556460701	51	Chromosome	2019-01-10	QPFF01	40597	73167256	101976	0.940966	0.91830647	0.02265951	0.029516995	0.029516995	vertebrata_odb10	BGIseq-500	BGI	PRJNA478295	SAMN09508879	26358	19916	663				
GCF_005870125.1	lonStrDom2	Lonchura striata	40157						Mets1	male	GCF_005870125.1-RS_2024_09	1060252993	31	Chromosome	2019-06-05	SWKX01	100423	71975342	2014	0.98340094	0.97796017	0.0054407967	0.00534858	0.011250461	passeriformes_odb10	Illumina HiSeq	HHMI/UCSF	PRJNA369279	SAMN11521339	18674	15577	102				
GCF_023159225.1	ASM2315922v1	Perognathus longimembris pacificus	214514						PPM17	male	NCBI Perognathus longimembris pacificus Annotation Release 100	2212099196	28	Chromosome	2022-04-27	JALGBO01	7389774	72679016	6180	0.9679664	0.9346282	0.033338167	0.005580519	0.02645311	glires_odb10	PacBio Sequel	San Diego Zoo Wildlife Alliance	PRJNA818714	SAMN26876106	30069	20883	3667				
GCF_922984935.1	mMelMel3.1 paternal haplotype	Meles meles	9662								NCBI Meles meles Annotation Release 100	2738678004	23	Chromosome	2021-12-19	CAKLPM01	75210923	132955750	537	0.98751897	0.96310854	0.024410427	0.0023445042	0.010136533	carnivora_odb10		WELLCOME SANGER INSTITUTE	PRJEB49353	SAMEA7524400	31234	21063	5063				
GCF_047511675.1	mMarFla1.hap1	Marmota flaviventris	93162						mMarFla1	male	GCF_047511675.1-RS_2025_02	2704651887	22	Chromosome	2025-02-10	JBLFKC01	52587502	136846803	813	0.9849978	0.9679664	0.017031454	0.0057979417	0.009204232	glires_odb10	PacBio Revio HiFi; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA1201324	SAMN45932315	34400	21191	5796				
GCF_027574615.1	DD_ASM_mEF_20220401	Eptesicus fuscus	29078						TK198812	male	GCF_027574615.1-RS_2023_03	2008057866	25	Chromosome	2023-01-09	JANZWY01	49033427	102817582	48	0.98888344	0.973026	0.015857447	0.0040052314	0.007111329	laurasiatheria_odb10	PacBio Sequel II CLR; HiC; Illumina	Bat1K	PRJNA868286	SAMN30608903	30977	20078	5131				
GCF_937001465.1	mOrcOrc1.1	Orcinus orca	9733								GCF_937001465.1-RS_2023_02	2647335075	22	Chromosome	2022-05-03	CAKZJT01	45583382	114219206	447	0.9784027	0.95628047	0.022122234	0.0071241097	0.0144731905	cetartiodactyla_odb10		WELLCOME SANGER INSTITUTE	PRJEB52131	SAMEA8800229	31447	19396	3526				
GCF_019703515.2	UBuf_Myxa_2	Myxocyprinus asiaticus	70543					Aquarium Trade	MX2		GCF_019703515.2-RS_2023_02	2340848162	50	Chromosome	2022-10-26	JAIGOD02	35119607	47849308	352	0.99615383	0.4043956	0.59175825	0.0010989011	0.0027472528	actinopterygii_odb10	Oxford Nanopore GridION; Illumina	University at Buffalo	PRJNA739167	SAMN19774990	47203	39345	3118				
GCF_009762305.2	mZalCal1.pri.v2	Zalophus californianus	9704						mZalCal1	male	NCBI Zalophus californianus Annotation Release 101	2409668595	19	Chromosome	2020-07-14	WPOA02	32626160	147124152	46	0.98255414	0.94069785	0.041856296	0.0035857123	0.013860157	carnivora_odb10	PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA559673	SAMN12368149	32543	21397	5342				
GCF_902655055.1	mLutLut1.2	Lutra lutra	9657								GCF_902655055.1-RS_2023_03	2438442342	20	Chromosome	2020-07-31	CACRWI02	30403456	149004807	43	0.98207146	0.9542132	0.027858226	0.0029651083	0.014963454	carnivora_odb10		SC	PRJEB35339	SAMEA994731	32271	20887	4414				
GCF_910596095.1	fThuMac1.1	Thunnus maccoyii	8240								NCBI Thunnus maccoyii Annotation Release 100	782407452	24	Chromosome	2021-07-07	CAJVDC01	26803536	33761101	57	0.99725276	0.99230766	0.004945055	0.0010989011	0.0016483517	actinopterygii_odb10		Wellcome Sanger Institute	PRJEB46021	SAMEA8654747	33655	24659	337				
